x,fx
22320,5.03869752276e-06
34198.039,4.83191876021e-07
46076.078,5.31716847026e-07
57954.121,5.76941250302e-07
69832.156,6.93302840358e-07
81710.195,8.35254498015e-07
93588.242,1.01473395648e-06
105466.28,1.37724551645e-06
117344.32,1.82844632511e-06
129222.36,2.05951750061e-06
141100.39,2.20363282353e-06
152978.44,2.38789869950e-06
164856.48,2.74340320686e-06
176734.52,3.36176435931e-06
188612.56,4.02232620128e-06
200490.59,4.76341968572e-06
212368.64,5.46160639091e-06
224246.67,5.84330587839e-06
236124.72,5.66319874107e-06
248002.75,5.27928870440e-06
259880.8,4.72757610828e-06
271758.84,4.27398175135e-06
283636.88,3.70653612219e-06
295514.91,3.03330419019e-06
307392.97,2.59015953269e-06
319271,2.11729601109e-06
331149.03,1.70408906651e-06
343027.06,1.33575215326e-06
354905.13,1.01762234628e-06
366783.16,7.70747851756e-07
378661.19,6.09310630966e-07
390539.25,4.91466707999e-07
402417.28,3.91711604792e-07
414295.31,3.35519592562e-07
426173.34,2.74209402165e-07
438051.41,2.16737750227e-07
449929.44,1.75439643568e-07
461807.47,1.48411072229e-07
473685.5,1.21369251426e-07
485563.56,1.05558270684e-07
497441.59,8.63766641091e-08
509319.63,7.37456513066e-08
521197.69,6.17711114112e-08
533075.69,5.07378651312e-08
544953.75,4.50617175158e-08
556831.81,4.03659287096e-08
568709.81,3.54227662514e-08
580587.88,2.99716678574e-08
592465.94,2.73272237035e-08
604343.94,1.63411701078e-07
