x,fx
22320,4.00130655139e-06
34198.039,3.00168658082e-07
46076.078,2.96147071832e-07
57954.121,2.94064481506e-07
69832.156,2.80689339826e-07
81710.195,2.77368526110e-07
93588.242,2.98497380198e-07
105466.28,3.40948190862e-07
117344.32,3.84701263530e-07
129222.36,4.13299330849e-07
141100.39,4.33917023101e-07
152978.44,4.71014829339e-07
164856.48,5.55939179950e-07
176734.52,7.01362823551e-07
188612.56,9.72013636628e-07
200490.59,1.49359329485e-06
212368.64,2.38587846819e-06
224246.67,3.55935252615e-06
236124.72,4.50639232657e-06
248002.75,5.06734964422e-06
259880.8,5.36465855916e-06
271758.84,5.32616886896e-06
283636.88,5.06623896601e-06
295514.91,4.66427329777e-06
307392.97,4.29375617505e-06
319271,3.83255808912e-06
331149.03,3.38779801624e-06
343027.06,3.00033818212e-06
354905.13,2.60354536773e-06
366783.16,2.26151288710e-06
378661.19,1.99763104855e-06
390539.25,1.76717525648e-06
402417.28,1.56078761776e-06
414295.31,1.42780000728e-06
426173.34,1.24103495587e-06
438051.41,1.10090085180e-06
449929.44,9.72461732563e-07
461807.47,8.61591284692e-07
473685.5,7.69882073464e-07
485563.56,6.81536608621e-07
497441.59,6.05857687949e-07
509319.63,5.43138153520e-07
521197.69,4.88972607866e-07
533075.69,4.38428487569e-07
544953.75,3.97356709592e-07
556831.81,3.55707379827e-07
568709.81,3.22216937079e-07
580587.88,2.90400280129e-07
592465.94,2.61460245902e-07
604343.94,1.70318919486e-06
